"","AIANNHCE","AIANNHNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","COMPTYP","AIANNHR","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
"121","1575","02418973","1575R","Indian Township","Indian Township Reservation","86","D2","R","F","G2101","A",97372938,17830333,"+45.2898668","-067.6193498"
"122","1070","00850495","1070R","Fallon Paiute-Shoshone","Fallon Paiute-Shoshone Colony","81","D8","R","F","G2101","A",234279,0,"+39.4847960","-118.7606927"
"123","2205","00924240","2205R","Mescalero","Mescalero Reservation","86","D2","R","F","G2101","A",1860886123,1470245,"+33.1761347","-105.5832417"
"124","1940","00659096","1940R","Leech Lake","Leech Lake Reservation","86","D8","R","F","G2101","A",2521474082,872627586,"+47.3578125","-094.2504543"
"125","4390","01448012","4390R","Uintah and Ouray","Uintah and Ouray Reservation","86","D8","R","F","G2101","A",17541508427,132018237,"+40.4127134","-110.7468495"
"126","1355","00654523","1355R","Grand Portage","Grand Portage Reservation","86","D8","R","F","G2101","A",192573176,3200852,"+47.9652879","-089.7371302"
"127","2890","02419058","2890R","Pokagon","Pokagon Reservation","86","D8","R","F","G2101","A",2749759,12445,"+41.7771035","-086.7145864"
"128","0525","01233634","0525R","Catawba","Catawba Reservation","86","D2","R","F","G2101","A",4082167,0,"+34.9083550","-080.8814798"
"129","4710","00036443","4710R","Yavapai-Prescott","Yavapai-Prescott Reservation","86","D2","R","F","G2101","A",5705583,0,"+34.5506888","-112.4350383"
"130","1460","01505548","1460R","Hoh","Hoh Indian Reservation","96","D8","R","F","G2101","A",1769172,12010,"+47.7399640","-124.4217112"
"131","0635","02419340","0635R","Chitimacha","Chitimacha Reservation","86","D2","R","F","G2101","A",1819458,0,"+29.8836620","-091.5311800"
"132","1515","00225577","1515R","Hopland","Hopland Rancheria","85","D2","R","F","G2101","A",8151730,3794,"+38.9995705","-123.0383845"
"133","1925","00226975","1925R","Laytonville","Laytonville Rancheria","85","D2","R","F","G2101","A",788337,0,"+39.6692904","-123.5006818"
"134","2100","01985200","2100R","Manchester-Point Arena","Manchester-Point Arena Rancheria","85","D2","R","F","G2101","A",1524368,0,"+38.9356895","-123.6825710"
"135","2820","00230747","2820R","Pinoleville","Pinoleville Rancheria","85","D2","R","F","G2101","A",421979,0,"+39.1801858","-123.2177979"
"136","3115","00231455","3115R","Redwood Valley","Redwood Valley Rancheria","85","D2","R","F","G2101","A",1095256,0,"+39.2901865","-123.1797140"
"137","3445","00248904","3445R","San Manuel","San Manuel Reservation","86","D8","R","F","G2101","A",2777107,0,"+34.1566303","-117.2175818"
"138","0695","00003089","0695R","Cocopah","Cocopah Reservation","86","D2","R","F","G2101","A",25995965,76159,"+32.6143529","-114.7993064"
"139","1280","00242378","1280R","Fort Yuma","Fort Yuma Indian Reservation","96","D2","R","F","G2101","A",178580460,3608993,"+32.7966429","-114.6761979"
"140","1270","02711352","1270R","Fort Sill Apache","Fort Sill Apache Indian Reservation","96","D2","R","F","G2101","A",121466,0,"+32.2414910","-107.4214313"
"141","1410","01616983","1410R","Hannahville","Hannahville Indian Community","95","D8","R","F","G2101","A",14393036,0,"+45.7794306","-087.4333443"
"142","0250","00256983","0250R","Big Pine","Big Pine Reservation","86","D2","R","F","G2101","A",1120999,0,"+37.1589602","-118.2850655"
"143","0290","00264455","0290R","Bishop","Bishop Reservation","86","D2","R","F","G2101","A",3503001,34784,"+37.3644131","-118.4204847"
"144","3265","00232012","3265R","Rumsey","Rumsey Indian Rancheria","97","D2","R","F","G2101","A",1954519,0,"+38.7380785","-122.1324630"
"145","1880","01616978","1880R","L'Anse","L'Anse Reservation","86","D8","R","F","G2101","A",237864739,46825316,"+46.7800119","-088.3701565"
"146","0845","00806896","0845R","Crow","Crow Reservation","86","D8","R","F","G2101","A",9227866488,31354263,"+45.3984584","-107.7128057"
"147","0720","00276284","0720R","Cold Springs","Cold Springs Rancheria","85","D2","R","F","G2101","A",416757,0,"+36.9715857","-119.3242320"
"148","4110","02419484","4110R","Table Mountain","Table Mountain Rancheria","85","D2","R","F","G2101","A",551202,0,"+36.9848914","-119.6359563"
